codigo,descricao_produto,observacoes,valor_de_venda,grupo_delivery,terminal_delivery,terminal_comanda,grupo_item,insumo
1,Alho e óleo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
2,Atum e queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
3,"Atum, queijo e milho",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
4,"Atum, queijo, tomate e cebola",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
5,Azeitona e queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
6,Bacon com rúcula e tomate seco,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
7,"Bacon, iscas de carne, cebola, pimentão, queijo e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
8,"Bacon, milho, presunto, queijo, catupiry e orégano",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
9,"Bacon, Strogonoff de carne, palmito, azeitona e queijo",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
10,Calabresa e queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
11,"Calabresa, brócolis, queijo e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
12,"Calabresa, carne moída, queijo e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
13,"Calabresa, cebola, queijo, pimentão, azeitona, pimenta vermelha",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
14,"Calabresa, queijo e tomate",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
15,"Calabresa, queijo, cebola e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
16,Carne de panela,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
17,Carne moída,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
18,Carne moída e queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
19,"Carne moída, brócolis, queijo e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
20,"Carne moída, presunto, queijo, milho e orégano",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
21,"Carne moída, queijo e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
22,"Carne moída, queijo, cebola, orégano e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
23,"Carne moída, queijo, tomate, cebola e pimentão",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
24,Champignon com queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
25,"Coração , queijo e tomate",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
26,Coração e queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
27,"Coração, queijo e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
28,"Coração, queijo, tomate, cebola e orégano",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
29,Frango,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
30,"Frango, queijo e milho",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
31,"Frango, queijo, cebola, orégano e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
32,"Frango, tomate, queijo e orégano",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
33,Fricasse de frango,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
34,Iscas de carne,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
35,Iscas de carne com tomate,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
36,"Iscas de carne, queijo e milho",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
37,"Iscas de carne, queijo, azeitona, milho e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
38,"Iscas de carne, queijo, cebola, orégano e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
39,"Iscas de carne, queijo, tomate e cebola",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
40,Linguiça campera,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
41,"Lombo, abacaxi e catupiry",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
42,"Marguerita (queijo, tomate e manjericão)",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
43,Portuguesa,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
44,Presunto com orégano,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
45,Presunto e queijo,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
46,"Rúcula, bacon e queijo",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
47,"Rúcula, calabresa e queijo",,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
48,Strogonoff,,,Salgadas,TERMINAL 1,TERMINAL 1,"Tamanho, Tamanho, Tamanho","Pequena, Média, Grande"
