descricao,observacao,valor_de_venda
Pão de queijo,,5.00
Enroladinho,,5.00
Sanduíche simples,"pão branco ou preto, chester e queijo",6.00
Prensado,pão e frios,8.00
Torrada completa,pão branco ou preto,8.00
Queijo quente,"pão, queijo, azeite de oliva e orégano",8.00
Empada de frango ou palmito,,8.00
Calzone de carne,,9.00
Pastel folhado,,9.00
Hot dog,,9.00
Bauru assado de frios,,9.00
Sanduíche com pão cervejinha,"chester, queijo, tomate, alface e pepino",10.00
Sanduíche completo,"pão branco ou preto; chester, atum ou frango; alface, beterraba, cenoura e tomate",10.00
Sanduíche especial,servido quente com queijo ralado,14.00
Crepioca de frango,,14.00
Omelete de frango,,18.00
Salada especial,"alface, tomate, cenoura, pepino, beterraba, frango e frutas",14.90
Pizza brotinho,frango/calabresa/presunto e queijo,19.00
Porção de pasteis,,19.00
Porção de risoles,,10.00
Porção de fritas,consulte a disponibilidade,14.00
Peixe frito,consulte a disponibilidade,14.00
Super brigadeiro,,18.00
Torta de bolacha,,26.00
Torta holandesa,,21.90
Espetinho de morango,,26.90
Salada de frutas,,31.90
Bolo no pote,,42.90
Crepioca de morango,banana e chocolate,13.00
Trufado de morango,,16.00
Panqueca americana,chocolate/ sorvete,18.90
Panqueca americana,chocolate/morango/banana/ sorvete e chantilly,18.90
Panqueca americana,chocolate/morango/M&M's,18.90
Waffle com morango e chocolate,,18.90
Pudim de sorvete,,18.00
Gilda,sorvete e refrigerante,26.00
Fondue P,frutas (morango. banana- uva. maça ou kiwi) e chocolate,21.90
Fondue M,"frutas (morango. banana- uva, maça ou kiwi) e chocolate",26.90
Fondue G,"frutas (morango, banana- uva, maça Ou kiwi) e chocolate",31.90
Barca de frutas,,42.90
Mini açaí 120g,,13.00
Açaí 200g,,16.00
Açaí 300g,,18.00
Açaí 500g,,20.00
Copo mix de açaí,,20.00
Copo bolha de açaí,,22.90
Açaí especial,,29.00
Taça Simone,,24.90
Barca especial de açaí,,38.90
Roleta de frutas,,39.90
Sundae Batom,,27.90
Casquinha Napolitana,,32.00
Sorvete de Inverno P,,13.00
Sorvete de Inverno G,,18.00
Sorvete de Inverno especial,,25.00
Banana Split,,35.00
Super Banana Split,,39.90
Petit Gateau,,24.00
Cone,,32.00
Super Sedução,,24.00
Chá quente,,4.50
Café pingado,,4.00
Café passado,,5.00
Café expresso,,5.00
Café expresso com leite,,6.00
Capuccino P,,9.00
Capuccino G,,10.00
Capuccino brigadeiro,,16.00
Capuccino de Nutella,,16.00
Sonho de capuccino,,16.00
Submarino,,20.00
Super cookies,,22.00
Super capuccino brigadeiro,,17.90
Café gelado,,35.00
Chocolate quente P,,8.50
Chocolate quente G,,10.00
Chocolate quente especial,,18.00
Chocolate gelado,,10.00
Milk shake,morango/trufado/laranja / chocolate/ napolitano/ capuccino/ bananal marnao,14.90
Milk shake especial,Ovomaltine/ uva,26.90
Vitamina,,9.00
Suco natural,,9.00
Néctar,,6.50
Refrigerante lata,,6.50
Água mineral,,4.00
Chopp,consulte a disponibilidade,35.00
Cerveja,consulte a disponibilidade,19.90
Taça Shot,,25.00
Taça Ourinho,,24.90
Taça Céu Azul,,24.90
Taça Nutellinha,,35.00
Taça Amandita,,24.90
Taça Ovomaltine,,35.00
Taça Ouro Branco,,35.00
Taça Ferrerinho,,35.00
Taça Crush,,35.00
Taça Negresco,,35.00
Taça Beijinho,,38.90
Taça Nutella,,35.00
Taça Sonho de Valsa,,38.90
Taça Rafaello,,35.00
Taça Bem Casado,,38.90
Taça Kinder Bueno,,35.00
Taça Kinder casquinha,,38.90
Taça Bis,,35.00
Taça Ferrero,,38.90
Taça Fantasia,,35.00
Taça Mumu,,35.00
Taça Preto no Branco,,38.00
Taça Cornetto,,35.00
Taça Napolitana,,35.00
Taça Kit Kat,,35.00
Taça Divino,,35.00
Taça Céu Azul,,25.00
Taça Titanic,,39.90
Taça 2017,,39.90
Taça Verão,,25.00
Taça Colegial,,27.90
Taça Bomba,,35.00
Taça Kinder Bueno,,38.90
Taça Stikadinho,,35.00
Pão de milho,,9.00
Pão sovado,,11.00
Pão integral,,12.00
Bolo de laranja,,18
Bolo mesclado de laranja,,18
Bolo mesclado de cenoura,,22
Bolo de cenoura,,24
Bolo de cenoura com gotas,,30
Bolo choco gotas,,30
Bolo de chocolate com nozes,,30
Bolo formigueiro,,22
Bolo de banana com canela,,30
Bolo de abacaxi com ricota,,30
Bolo de abacaxi com nozes,,30
Bolo de amendoim com doce de leite,,30
Bolo churros,,30
Bolo de goiabada com ricota,,30
Bolo de limão,,30
Bolo de maçã com canela,,30
Bolo de maracujá,,30
Bolo de baunilha com chocolate,,30
Bolo de milho e coco,,30
Bolo Stikadinho,,30
Bolo Ouro Branco,,35
Bolo vulcão,,45
Bolos integrais com frutas e castanhas,,30
